131211132,Assault,12/11/13 0:00,3200 Block SAN JUAN AV,Santa Clara City Police Department,12/11/13,0:00
131211194,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/13,0:00
131211190,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/13,0:00
130012397,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/13,0:00
130012382,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/13,0:00
130012401,Theft,12/11/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/13,0:00
130012430,Theft,12/12/13 0:00,2000 Block LAWRENCE CT,Santa Clara City Police Department,12/12/13,0:00
131212144,Theft,12/12/13 0:00,2000 Block LAWRENCE CT,Santa Clara City Police Department,12/12/13,0:00
131213050,Vehicle Recovery,12/13/13 0:00,3700 Block POINCIANA DR,Santa Clara City Police Department,12/13/13,0:00
131213009,Assault,12/13/13 0:00,3300 Block GRANADA AV,Santa Clara City Police Department,12/13/13,0:00
131213220,Theft,12/13/13 0:00,3400 Block EL CAMINO REAL,Santa Clara City Police Department,12/13/13,0:00
130012482,Theft,12/13/13 0:00,3400 Block EL CAMINO REAL,Santa Clara City Police Department,12/13/13,0:00
131214036,Theft,12/14/13 0:00,1900 Block SANTA ROSA CT,Santa Clara City Police Department,12/14/13,0:00
130012521,Theft,12/15/13 0:00,3300 Block SCOTT BLVD,Santa Clara City Police Department,12/15/13,0:00
130012518,Theft,12/15/13 0:00,2400 Block PACIFIC DR,Santa Clara City Police Department,12/15/13,0:00
130012553,Vehicle Recovery,12/16/13 0:00,MIRAMAR WAY & TERSTENA PL,Santa Clara City Police Department,12/16/13,0:00
131216056,Vehicle Recovery,12/16/13 0:00,MIRAMAR WAY & TERSTENA PL,Santa Clara City Police Department,12/16/13,0:00
130012547,Theft,12/16/13 0:00,3400 Block AGATE DR,Santa Clara City Police Department,12/16/13,0:00
130012586,Assault,12/16/13 0:00,3500 Block MONROE ST,Santa Clara City Police Department,12/16/13,0:00
S133500034,Assault,12/16/13 4:36,1 Block BLOCK GRANT RD,Santa Clara County Sheriff's Office,12/16/13,4:36
131217190,Theft,12/17/13 0:00,3100 Block SAN JUAN AV,Santa Clara City Police Department,12/17/13,0:00
131217227,Theft,12/17/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/17/13,0:00
130012601,Theft,12/17/13 0:00,3100 Block SAN JUAN AV,Santa Clara City Police Department,12/17/13,0:00
130012630,Theft,12/17/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/17/13,0:00
130012628,Assault,12/17/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/17/13,0:00
131217066,Theft,12/17/13 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department,12/17/13,0:00
130012605,Theft,12/17/13 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department,12/17/13,0:00
130012623,Theft,12/17/13 0:00,3100 Block SAN JUAN AV,Santa Clara City Police Department,12/17/13,0:00
130050891,Theft,12/19/13 0:00,3500 Block GRANADA AVE,Santa Clara City Police Department,12/19/13,0:00
130012705,Theft,12/19/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/19/13,0:00
130012696,Theft,12/19/13 0:00,2900 Block SAN YSIDRO WAY,Santa Clara City Police Department,12/19/13,0:00
131219109,Theft,12/19/13 0:00,2900 Block SAN YSIDRO WAY,Santa Clara City Police Department,12/19/13,0:00
131219144,Theft,12/19/13 0:00,3300 Block CABRILLO AV,Santa Clara City Police Department,12/19/13,0:00
130012699,Theft,12/19/13 0:00,2800 Block LAKESIDE DR,Santa Clara City Police Department,12/19/13,0:00
130012693,Breaking & Entering,12/19/13 0:00,2900 Block LAKESIDE DR,Santa Clara City Police Department,12/19/13,0:00
131219105,Breaking & Entering,12/19/13 0:00,2900 Block LAKESIDE DR,Santa Clara City Police Department,12/19/13,0:00
131219120,Theft,12/19/13 0:00,2800 Block LAKESIDE DR,Santa Clara City Police Department,12/19/13,0:00
131219149,Theft,12/19/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/19/13,0:00
131219097,Theft,12/19/13 0:00,2900 Block LAKESIDE DR,Santa Clara City Police Department,12/19/13,0:00
130012744,Theft,12/20/13 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department,12/20/13,0:00
130012733,Assault,12/20/13 0:00,ALPINE AV & EL CAMINO REAL,Santa Clara City Police Department,12/20/13,0:00
131220190,Robbery,12/20/13 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department,12/20/13,0:00
130012741,Theft,12/20/13 0:00,3200 Block CENTRAL EXPY,Santa Clara City Police Department,12/20/13,0:00
131220195,Theft,12/20/13 0:00,3200 Block CENTRAL EXPY,Santa Clara City Police Department,12/20/13,0:00
